http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/CE25547D81AF5D5585257FFF0056904E?OpenDocument&lang=fra&,KONE INC.,6D06350213,2006-04-06,0630 Édifices à bureaux,-,2006-04-06 to 2028-03-31,158 742.15 $,920O - Document contractuel distribué par Services publics et Approvisionnement Canada (PSPC) au nom de l'Agence de la santé publique du Canada.  TC - Contrat à source concurrentielle.  Ceci est un contrat pluriannuel.  .  Autres travaux d'installation.  Gestion et soutien des programmes. Il y a une ou plusieurs modifications.
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/20FBE0C9DB62B15E85257FFF00569032?OpenDocument&lang=fra&,SIEMENS CANADA LTD.,6D06313001,2012-07-05,0499 Autres services professionnels non précisés ailleurs,-,2012-07-05 to 2020-03-31,223 650.00 $,920O - Document contractuel distribué par Services publics et Approvisionnement Canada (PSPC) au nom de l'Agence de la santé publique du Canada.  TC - Contrat à source concurrentielle.  Ceci est un contrat pluriannuel.  .  Électricité.  Sciences et technologies pour la santé publique
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/38A06C6834F30A6785257FFF00568E3F?OpenDocument&lang=fra&,KONICA MINOLTA BUSINESS SOLUTIONS,4500300071,2013-03-27,"0533 Location de machinerie, de mobilier et d'installation de bureau, et d'autres équipement",-,2016-04-01 to 2017-03-31,59 246.35 $,"942 - Cette commande subséquente est un contrat en vertu d'un arrangement administratif, connu comme une offre à commandes, qui peut être initié par Services publics et Approvisionnement Canada (PSPC) ou n'importe quel autre ministère.  TC - Contrat à source concurrentielle.  .  Il y a une ou plusieurs modifications.  Matériel de système d'information de bureau - location.  Promotion de la santé et prévention des maladies "
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/0B909E9862F9B5D785257FFF00569035?OpenDocument&lang=fra&,GETINGE CANADA LIMITED,6D06323201,2013-05-09,"1243 Instruments de mesure, de contrôle, de laboratoire - Instruments de médecine et d'optique",-,2013-04-01 to 2017-03-31,1 389 446.48 $,920O - Document contractuel distribué par Services publics et Approvisionnement Canada (PSPC) au nom de l'Agence de la santé publique du Canada.  TC - Contrat à source concurrentielle.  Ceci est un contrat pluriannuel.  .  Instruments de mesure et d'essai de propriétés électriques et électroniques.  Infrastructure de santé publique
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/D29FD1408131C7C285257FFF00569038?OpenDocument&lang=fra&,LIFE TECHNOLOGIES INC.,6D06333102,2014-03-27,"0660 Instruments, appareils et accessoires de mesure, de contrôle, de laboratoire, de médecine et d'optique",-,2014-04-01 to 2017-03-31,177 173.81 $,920O - Document contractuel distribué par Services publics et Approvisionnement Canada (PSPC) au nom de l'Agence de la santé publique du Canada.  TN - Contrat à source unique.  Ceci est un contrat pluriannuel.  .  Équipement et approvisionnements de laboratoire - réparation .  Infrastructure de santé publique
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/250DC38AC038291985257FFF00569008?OpenDocument&lang=fra&,ALBERTA HEALTH SERVICES/AHS,6D0233222N,2014-04-01,0499 Autres services professionnels non précisés ailleurs,-,2014-04-01 to 2016-03-31,494 680.80 $,920O - Document contractuel distribué par Services publics et Approvisionnement Canada (PSPC) au nom de l'Agence de la santé publique du Canada.  TN - Contrat à source unique.  Ceci est un contrat pluriannuel.  Il y a une ou plusieurs modifications.  Études sur la médecine et la santé.  Promotion de la santé et prévention des maladies 
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/AF66AC89E357DF5F85257FFF0056903A?OpenDocument&lang=fra&,ILLUMINA INC.,6D06333254,2014-04-10,"0660 Instruments, appareils et accessoires de mesure, de contrôle, de laboratoire, de médecine et d'optique",-,2014-04-01 to 2015-03-31,270 197.16 $,920O - Document contractuel distribué par Services publics et Approvisionnement Canada (PSPC) au nom de l'Agence de la santé publique du Canada.  TN - Contrat à source unique.  .  .  Équipement et approvisionnements de laboratoire - réparation .  Infrastructure de santé publique
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/3F45CD5B162C203C85257FFF00568E48?OpenDocument&lang=fra&,BD BIOSCIENCES-CANADA,4500317168,2014-05-20,"0660 Instruments, appareils et accessoires de mesure, de contrôle, de laboratoire, de médecine et d'optique",-,2014-07-01 to 2017-06-30,44 112.60 $,"PS1 - Contrat à long formulaire.  TN - Contrat à source unique.  Ceci est un contrat pluriannuel.  Il y a une ou plusieurs modifications.  Instruments, équipement et fournitures médicaux chirurgicaux - réparation .  Infrastructure de santé publique"
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/C775BE63CC79475685257FFF00569040?OpenDocument&lang=fra&,BECTON DICKINSON CANADA INC,6D06333433,2014-05-28,"0660 Instruments, appareils et accessoires de mesure, de contrôle, de laboratoire, de médecine et d'optique",-,2014-05-28 to 2017-04-30,101 115.00 $,"920O - Document contractuel distribué par Services publics et Approvisionnement Canada (PSPC) au nom de l'Agence de la santé publique du Canada.  TN - Contrat à source unique.  Ceci est un contrat pluriannuel.  .  Instruments, équipement et fournitures médicaux chirurgicaux - réparation .  Infrastructure de santé publique"
http://www.contracts-contrats.phac-aspc.gc.ca/phac-aspc/pd-dp/cd-dc.nsf/WEBbypurposeF/4D7FD0381616165B85257FFF00568E4B?OpenDocument&lang=fra&,LIFE TECHNOLOGIES INC.,4500319011,2014-07-01,"1171 Fournitures médicales, instruments, appareils",-,2014-07-01 to 2017-06-30,37 269.52 $,PS1 - Contrat à long formulaire.  TN - Contrat à source unique.  Ceci est un contrat pluriannuel.  Il y a une ou plusieurs modifications.  Équipement et approvisionnements de laboratoire.  Infrastructure de santé publique
